,TimeStamp,PlayerName,StartChips,Seat,PC,PCVal,Flop,FlopVal,Turn,TurnVal,River,RiverVal,Cards
1,3036351406,/P/xm24DBsfRoQ+cZG/aoQ,144.20,7,fo,,,,,,,,
2,3036351406,IRMjAwuLYKvUi+z86ekgvw,99.40,8,ca,"(0.5, 0.5)",chfo,,,,,,
3,3036351406,w6qRl6TZmQuJka9XP2muNQ,100,9,ch,1.0,be,2.0,chca,3.0,chca,5.0,"(('9s', '10c'), 21.35)"
4,3036351406,kIbanshKysxtdDXKqLAWsA,129.50,1,fo,,,,,,,,
5,3036351406,Lv1P4e5VOi9iExeiT6yu4w,128.75,2,fo,,,,,,,,
6,3036351406,Q1wMNadv0MqRUDF/XFX2sQ,110.60,3,fo,,,,,,,,
7,3036351406,nPG8FS8XBHKHql/2atFKMw,39.53,4,fo,,,,,,,,
8,3036351406,dQGyl79fS8+PuVgomUj2Iw,77.85,5,ca,1.0,ca,2.0,be,3.0,be,5.0,"('8d', '5d')"
9,3036351406,DTn8ms2ooz0h4sXDL+m3Fw,74.20,6,fo,,,,,,,,
11,3036350170,dPft7g2lbDhkes7WOvCpKA,109.40,2,ca,2.0,fo,,,,,,
12,3036350170,VcDZxnAcQ1JA3wZn80ihKA,125.90,3,fo,0.5,,,,,,,
13,3036350170,1uadzoMdwLu8ZTizmRA+nQ,269.50,4,fo,1.0,,,,,,,
14,3036350170,bLe9jYkxWpLdwht7ugYqNA,72.45,5,ra,2.0,be,"(2.5, -2.5)",,,,,4.75
15,3036350170,DO8rgn31KkgyCUmhQq58OA,174.65,6,fo,,,,,,,,
16,3036350170,7I7RYE+DyVv9a2suFhCI8g,131.20,1,fo,,,,,,,,
18,3036350880,DSbskv5D5qKxR/MXeY2lfQ,259.65,9,ra,"(3.0, -2.0)",,,,,,,2.50
19,3036350880,/P/xm24DBsfRoQ+cZG/aoQ,162.85,2,fo,0.5,,,,,,,
20,3036350880,3cQWYs6Ypy1A3Kvdl3vU6w,212.25,3,fo,1.0,,,,,,,
21,3036350880,1b84VBN1xftLtjOgGMOFKQ,41.25,4,fo,,,,,,,,
22,3036350880,kIbanshKysxtdDXKqLAWsA,99.85,5,fo,,,,,,,,
23,3036350880,BRKGdKLCbwRMR8WOKlt1ZA,205.50,6,fo,,,,,,,,
24,3036350880,uWhRg5ZstkiUIL1M+DTi6Q,53,8,fo,,,,,,,,
26,3036369500,3cQWYs6Ypy1A3Kvdl3vU6w,218.80,4,fo,,,,,,,,
27,3036369500,Lv1P4e5VOi9iExeiT6yu4w,113.05,5,fo,0.5,,,,,,,
28,3036369500,/P/xm24DBsfRoQ+cZG/aoQ,98.60,6,,,,,,,,,
29,3036369500,7o651P4boRE9SLBrnhBw1g,113.55,7,fo,1.0,,,,,,,
30,3036369500,w6qRl6TZmQuJka9XP2muNQ,107.60,8,fo,,,,,,,,
31,3036369500,RKfKBrFsFDsplJedW6YvXw,79.65,9,fo,,,,,,,,
32,3036369500,CN8njzPOL23bn0/W/qAZEg,116.30,1,caca,"(1.0, 3.5)",chfo,,,,,,
33,3036369500,1TF3Z/vrIfbOvTFusV7gXA,102.45,2,fo,,,,,,,,
34,3036369500,kIbanshKysxtdDXKqLAWsA,112.20,3,ra,4.5,be,"(5.25, -5.25)",,,,,9.50
36,3036370190,kIbanshKysxtdDXKqLAWsA,159.40,1,fo,,,,,,,,
37,3036370190,w6qRl6TZmQuJka9XP2muNQ,95,2,ra,"(0.5, 6.25)",ch,,ch,,be,6.0,"(('Kd', 'Kc'), 25.65)"
38,3036370190,IRMjAwuLYKvUi+z86ekgvw,96.60,3,fo,1.0,,,,,,,
39,3036370190,0yeTjGz/BUymTz73bRGlaQ,314.50,4,caca,"(1.0, 5.75)",ch,,ch,,ca,6.0,
40,3036370190,SOmCyC+XbRRltaK3+ILSdw,47.35,6,fo,,,,,,,,
41,3036370190,BRKGdKLCbwRMR8WOKlt1ZA,193.50,7,fo,,,,,,,,
42,3036370190,vCvro5OmMi2KmzdnfwpwmA,74.90,8,fo,,,,,,,,
43,3036370190,eOZsKkPh2zklZr8AXvEmsg,200.90,9,cafo,1.0,,,,,,,
45,3036351786,N1BGgNozkMR8RFBjE7lbeg,203.55,3,fo,,,,,,,,
46,3036351786,fpIY7gGxxZa0WXhg6L5Kug,356.60,4,fo,0.5,,,,,,,
47,3036351786,K6g8SSEKNJM+mB0DC3k1eg,82,5,fo,1.0,,,,,,,
48,3036351786,TvZDe7IndWW1l+koEl5e8w,37.20,6,ra,2.0,be,2.0,ch,,ch,,"('Kh', 'Qd')"
49,3036351786,iD8JKXYB6onyrQ6bQ4HyXQ,121.30,1,ca,2.0,ca,2.0,ch,,ch,,"(('Ah', '10d'), 8.55)"
50,3036351786,1uadzoMdwLu8ZTizmRA+nQ,173.40,2,fo,,,,,,,,
52,3036352172,/P/xm24DBsfRoQ+cZG/aoQ,162.35,2,ra,3.5,be,4.0,be,9.0,be,17.0,"(('3h', 'Ah'), 64.5)"
53,3036352172,3cQWYs6Ypy1A3Kvdl3vU6w,211.25,3,ca,"(0.5, 3.0)",chca,4.0,chca,9.0,chca,17.0,
54,3036352172,1b84VBN1xftLtjOgGMOFKQ,41.25,4,fo,1.0,,,,,,,
