,Unnamed: 0,TimeStamp,GameType,BigBlind,Table,Date,PlayerCount,TotalPot,Dealer,Board,Ante,1on1
0,1,3036351406,HoldemNoLimit,1,SANFORD ST,"2009-07-0616:48:55(ET)
",9,23.0,7,"['9d', '3h', '8c', 'Kd', '6h']",False,False
1,2,3036350170,HoldemNoLimit,1,BOEING AVE,"2009-07-0616:48:57(ET)
",6,5.5,2,"['6c', '8d', '5c']",False,False
2,3,3036350880,HoldemNoLimit,1,GERMANY HWY,"2009-07-0616:48:58(ET)
",7,2.5,9,,False,False
3,4,3036369500,HoldemNoLimit,1,PEARL DR,"2009-07-0616:49:01(ET)
",9,10.5,4,"['Kd', '6h', 'Qs']",False,False
4,5,3036370190,HoldemNoLimit,1,MARION AVE,"2009-07-0616:49:12(ET)
",8,27.5,1,"['Ac', '9c', '7d', 'Ad', '10']",False,False
5,6,3036351786,HoldemNoLimit,1,CHESAPEAKE,"2009-07-0616:49:15(ET)
",6,9.5,3,"['4h', '2c', 'Js', '2s', '3s']",False,False
6,7,3036352172,HoldemNoLimit,1,GERMANY HWY,"2009-07-0616:49:21(ET)
",7,68.0,2,"['4s', '3d', '3c', '6c', 'Qd']",False,False
7,8,3036351468,HoldemNoLimit,1,BOEING AVE,"2009-07-0616:49:22(ET)
",6,1.5,3,,False,False
8,9,3036369720,HoldemNoLimit,1,FLAMINGO DR,"2009-07-0616:49:24(ET)
",8,7.0,9,"['2s', '9s', 'Jc', '8d', '2c']",False,False
9,10,3036371218,HoldemNoLimit,1,BRADBURN RD,"2009-07-0616:49:30(ET)
",6,8.0,2,,False,False
10,11,3036353934,HoldemNoLimit,1,GRAM DR,"2009-07-0616:49:33(ET)
",9,2.5,5,,False,False
11,12,3036353032,HoldemNoLimit,1,BELLINGHAM,"2009-07-0616:49:35(ET)
",6,21.5,4,"['7s', 'Jd', '9d', '2s', '10']",False,False
12,13,3036352308,HoldemNoLimit,1,BOEING AVE,"2009-07-0616:49:38(ET)
",6,2.0,4,,False,False
13,14,3036370770,HoldemNoLimit,1,MEXICO HWY,"2009-07-0616:49:48(ET)
",6,81.5,5,"['7h', '3c', '3h', '10c', 'Qd']",False,False
14,15,3036372572,HoldemNoLimit,1,BRADBURN RD,"2009-07-0616:49:51(ET)
",6,2.0,3,,False,False
15,16,3036355062,HoldemNoLimit,1,SANFORD ST,"2009-07-0616:49:52(ET)
",9,12.0,8,"['6c', '4c', '9s', 'Kd', 'Ks']",False,False
16,17,3036372654,HoldemNoLimit,1,PEARL DR,"2009-07-0616:49:52(ET)
",8,10.5,5,"['8d', '4s', 'Jh', 'Ah', 'Jd']",False,False
17,18,3036373124,HoldemNoLimit,1,MARION AVE,"2009-07-0616:49:57(ET)
",8,1.5,2,,False,False
18,19,3036373528,HoldemNoLimit,1,BRADBURN RD,"2009-07-0616:50:04(ET)
",6,3.5,4,,False,False
19,20,3036355380,HoldemNoLimit,1,CHESAPEAKE,"2009-07-0616:50:13(ET)
",6,20.5,4,"['Js', '2h', '4h']",False,False
20,21,3036372758,HoldemNoLimit,1,FLAMINGO DR,"2009-07-0616:50:15(ET)
",9,33.0,2,"['4d', '10d', '10']",False,False
21,22,3036374550,HoldemNoLimit,1,MARION AVE,"2009-07-0616:50:20(ET)
",9,8.0,3,"['8d', '3s', 'Kh']",False,False
22,23,3036357136,HoldemNoLimit,1,GRAM DR,"2009-07-0616:50:26(ET)
",9,2.5,6,,False,False
23,24,3036356288,HoldemNoLimit,1,BELLINGHAM,"2009-07-0616:50:29(ET)
",6,12.0,5,"['Ad', '4c', '2h', '6c', '9d']",False,False
24,25,3036355114,HoldemNoLimit,1,BOEING AVE,"2009-07-0616:50:30(ET)
",5,2.5,5,,False,False
25,26,3036375462,HoldemNoLimit,1,BRADBURN RD,"2009-07-0616:50:36(ET)
",6,2.5,5,"['Js', 'Qh', 'Kd']",False,False
26,27,3036373968,HoldemNoLimit,1,MEXICO HWY,"2009-07-0616:50:40(ET)
",6,1.5,6,,False,False
27,28,3036357128,HoldemNoLimit,1,GERMANY HWY,"2009-07-0616:50:44(ET)
",7,51.0,3,"['5d', 'As', '3s']",False,False
28,29,3036376174,HoldemNoLimit,1,MARION AVE,"2009-07-0616:50:46(ET)
",9,2.5,4,"['Ah', '4h', '3d']",False,False
